qmean7913,CC_Area_km2
3132620.985,1
2082124.764,1
4970674.968,1
4909507.447,1
4777180.548,1
4651114.631,1
2051004.704,1
4726343.388,1
4729224.155,1
4646890.547,1
2030949.612,1
3150726.087,1
4318973.961,1
2615420.415,1
2614098.779,1
2527317.995,1
2508318.701,1
3010255.102,1
4860462.24,1
2911795.376,1
2560975.673,1
4710402.951,1
4428786.826,1
4492015.914,1
1891395.398,1
3600103.082,1
2810270.9,1
2317891.248,1
4807193.633,1
3585670.007,1
3199511.364,1
4334895.559,1
4216285.635,1
1863932.646,1
4495011.246,1
4382756.253,1
4227598.605,1
4463612.962,1
1864253.093,1
3443957.079,1
1602835.723,1
3269519.551,1
3010831.441,1
3086704.435,1
1825688.779,1
4139581.554,1
2656492.32,1
3749428.101,1
3018091.965,1
3035126.864,1
4784408.436,1
4378038.734,1
4926204.245,1
3726326.242,1
1532263.099,1
6646937.007,1
7022774.847,1
3164263.647,1
3031633.475,1
2822450.699,1
2817392.459,1
3019693.495,1
3037366.417,1
4905121.54,1
4175554.865,1
2813449.625,1
4524268.432,1
3051575.672,1
1781261.246,1
2835554.095,1
3954227.654,1
4698162.195,1
5801244.044,1
2969023.025,1
2944258.76,1
2935032.187,1
3207198.757,1
3178964.116,1
2854442.515,1
4017498.509,1
3340880.001,1
3126123.371,1
1790312.508,1
4576245.218,1
4607382.262,1
6007308.075,1
4043355.337,1
3679743.316,1
3296537.896,1
3626211.117,1
5849927.256,1
7211691.462,1
3159969.008,1
2879665.115,1
3963350.505,1
3922691.618,1
3801739.793,1
3593498.193,1
6458372.398,1
3216079.009,1
3730947.252,1
1672394.316,1
3233626.582,1
3217678.811,1
3931376.911,1
4357124.627,1
4242851.375,1
3937273.626,1
3866949.072,1
5923331.083,1
3277334.311,1
2821435.663,1
8474152.976,1
3803034.289,1
3449687.486,1
3184468.575,1
3231346.956,1
4385685.305,1
3958202.891,1
3151578.771,1
3172672.342,1
2899701.202,1
2828253.926,1
7074821.416,1
3387223.255,1
3055723.331,1
2890031.585,1
4458680.851,1
3715919.671,1
3242793.512,1
3155767.372,1
2948577.825,1
3762886.696,1
3895437.707,1
3699882.9,1
5074075.912,1
4576978.448,1
3328569.49,1
3313609.723,1
3089757.926,1
2906485.048,1
4053820.092,1
5190623.538,1
5156600.169,1
5120713.91,1
5009083.471,1
4947239.331,1
4443811.75,1
3030584.032,1
2474805.49,1
2871859.134,1
4172942.16,1
3903805.913,1
5302806.495,1
5190098.312,1
4743543.547,1
2181255.168,1
3864508.182,1
4111074.403,1
5376758.505,1
4722401.727,1
3173962.083,1
2935768.517,1
5475451.681,1
5249818.35,1
5470601.359,1
5409225.658,1
2901627.746,1
5084485.751,1
3268477.892,1
2566629.879,1
2783439.565,1
5640722.029,1
3001926.372,1
2721386.262,1
2879954.802,1
2592138.754,1
2163337.069,1
2466357.796,1
1522883.734,1
5644722.152,1
5620494.69,1
2301737.445,1
6881458.029,1
6360379.306,1
2696094.821,1
