ID,lon,lat,qmean7913,q79,q80,q81,q82,q83,q84,q85,q86,q87,q88,q89,q90,q91,q92,q93,q94,q95,q96,q97,q98,q99,q00,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,q13,CC_Area_km2,Shape_Length,DL_km,Q_m2_yr,Q_A_norm_m_yr
4573,-152.528104,58.11359198,1805489.483,1790248.251,2094611.409,1638178.882,1878248.987,1862981.013,1607332.522,1665689.925,2114103.806,1767274.422,1402938.354,1817884.062,1688996.593,1741064.419,1412179.786,2097003.258,1863884.733,1553531.758,1668224.025,1811834.782,1441180.568,1619185.46,2001808.455,1752435.083,2017389.929,1871155.921,1683882.665,1701149.797,1781590.461,2192302.036,1718948.253,2547382.832,1413263.308,1706115.603,1987631.061,2280499.5,1,13000,154,138.8838064,0.902744742
4586,-133.1862096,56.33244014,4569508.119,4478913.668,4828812.246,4080076.393,3918317.515,3888894.886,4467788.965,3778020.896,4484837.904,5214336.598,3909250.967,4580045.689,4900933.815,5556015.972,4233440.428,4362175.916,4093823.555,3971474.818,3877125.657,3871286.564,4678920.994,4988892.705,4534806.42,4466624.766,4067453.752,4685319.729,4758094.654,4757627.036,5305183.362,4839142.023,4416366.212,4329888.079,4883340.007,6019975.708,4804462.765,5901113.5,3,6000,667,761.5846865,1.14237703
4587,-133.1450104,56.31560961,5961865.125,5768584.797,6189299.667,5766975.404,4622059.264,4796395.599,6122342.509,4716432.491,5777441.677,6694334.993,5479575.645,5867009.493,6061744.64,7540577.689,5852168.581,5546189.52,5203679.129,4842008.711,5036331.003,4758265.652,6308869.433,6509791.267,5998608.41,5863565.513,5206071.604,6347703.366,5931320.709,6236222.066,7590112.266,6310303.73,5832914.85,5812037.103,6041407.547,8117147.486,6526829.077,7390958.5,2,5000,600,1192.373025,1.987288375
4588,-133.1296184,56.31283881,4424799.34,4358293.649,4682181.535,3945454.394,3811982.151,3780408.607,4291961.377,3657098.892,4360790.649,5044508.663,3789313.133,4458969.505,4760230.767,5391137.966,4095914.265,4251746.802,3974593.3,3827407.921,3764766.352,3750569.753,4557906.071,4851541.364,4409730.782,4302817.858,3950933.796,4538270.774,4642533.734,4611343.773,5144244.367,4701088.842,4273144.632,4209729.812,4701086.339,5744159.368,4595040.719,5637075,1,3000,667,1474.933113,2.21239967
4609,-153.0040216,58.13614667,15306131.67,15394591.26,16696344.82,13361239.08,15929915.47,15400495.94,13863519.13,13816733.1,17788252.17,14904661.14,12322880.75,16081808.25,14466803.12,15380819.48,11909956.72,18570557.81,16729320.51,13062177.41,14345648.58,15610539.21,12909769.1,13647576.56,16572837.27,14783066.94,16808802.16,15642982.03,13501235.95,14369472.44,15994957.61,18354174.09,14160663.99,20578051.93,13164140.7,16054335.41,17684620.34,15851658,15,4000,4000,3826.532918,0.956633229
4610,-152.5954373,58.13226444,3833794.749,3725267.66,4212055.184,3636483.623,3743626.757,3919193.739,3570313.617,3586926.269,4247832.587,3591078.214,3190229.412,4113432.747,3606596.806,3972573.7,3000509.329,4141005.648,4227879.192,3258206.253,3333340.642,3939163.46,3386528.57,3418573.863,3916313.18,3497996.626,4103996.297,3841368.478,3439570.493,3953208.205,3946458.955,4639568.438,3705484.091,4917492.59,3362333.528,3744387.788,4343454.281,4950366,4,5000,1000,766.7589498,0.76675895
4611,-152.5103279,58.13128933,1815916.534,1826972.757,2110086.387,1652087.247,1881017.464,1873725.087,1615840.543,1673003.086,2129330.973,1787229.781,1412225.265,1827578.409,1696713.008,1761663.882,1409195.542,2111063.055,1875255.256,1564575.725,1676843.959,1821315.68,1449218.517,1618074.334,2016322.552,1762292.963,2032196.989,1880789.174,1697992.755,1704275.34,1796115.859,2200735.281,1729492.276,2564855.68,1416024.85,1716235.719,1999373.476,2267359.8,1,10000,200,181.5916534,0.907958267
4612,-152.4933066,58.13108743,5432860.919,5373014.454,6133737.512,5046527.905,5420267.311,5607889.52,4953932.842,5043051.17,6203259.225,5178482.725,4371917.16,5652418.341,5103384.691,5472890.559,4261827.939,6060225.357,5894042.784,4671500.468,4793636.536,5524055.811,4581765.294,4795008.503,5796368.938,5079172.043,5940503.983,5570013.023,4959443.373,5417502.378,5534655.268,6633335.937,5165442.848,7325275.945,4523116.377,5192078.534,6025992.408,6844395,5,12000,500,452.7384099,0.90547682
4613,-152.3060858,58.12871514,2342290.244,2315655.807,2676722.085,2240763.529,2301882.682,2417996.677,2196048.745,2203579.655,2578017.331,2207132.69,1944950.667,2505360.753,2234306.593,2454120.459,1886285.641,2432621.639,2583049.723,1959955.888,1969106.062,2438958.546,2092574.333,2074772.387,2435512.351,2132812.398,2516782.816,2343544.787,2184309.299,2468739.261,2369966.947,2804641.135,2221835.655,2965104.072,2033226.9,2178858.476,2650288.554,2960674,1,6000,333,390.3817074,1.171145122
4623,-133.1708074,56.32967469,4134923.748,3969613.717,4286787.642,3982822.403,3221134.352,3320340.017,4269221.55,3273125.175,3987083.354,4622667.194,3798477.766,4058510.263,4228120.522,5211042.008,4052620.717,3843744.663,3585625.077,3397137.197,3490037.188,3310260.995,4355295.552,4501783.014,4160687.857,4082541.432,3591009.963,4393035.552,4110629.168,4304918.925,5245190.656,4350723.959,4049698.386,4016995.782,4199762.673,5665181.752,4569695.703,5216809,1,7000,286,590.7033925,2.067461874
